#mass 1.0, fConst 1.0, rSep 2.0, nbFcts 50.0, nbGHpoints 100.0, nbEigval 3.0, mxPTord 50.0, 

xDist	zDist	abstand	eigenvalues	
0.0	0.0	0.0	1.751499	
0.1	0.1	0.1	1.743282	
0.1	0.1	0.2	1.719867	
0.2	0.2	0.3	1.684249	
0.3	0.3	0.4	1.639867	
0.3	0.3	0.5	1.589805	
0.4	0.4	0.6	1.536574	
0.5	0.5	0.7	1.482164	
0.6	0.6	0.8	1.428127	
0.6	0.6	0.9	1.375633	
0.7	0.7	1.0	1.325519	
1.1	1.1	1.5	1.121630	
1.4	1.4	2.0	0.987117	
1.8	1.8	2.5	0.896776	
2.1	2.1	3.0	0.833192	
2.5	2.5	3.5	0.786513	
2.8	2.8	4.0	0.751009	
3.2	3.2	4.5	0.723195	
3.5	3.5	5.0	0.700863	
4.2	4.2	6.0	0.667297	
5.0	5.0	7.0	0.643311	
5.7	5.7	8.0	0.625332	
6.4	6.4	9.0	0.611358	
