#mass 1.0, fConst 1.0, rSep 2.0, abstand 50.0, nbFcts 100.0, nbGHpoints 3.0, nbEigval 50.0, 

xDist	zDist	mxPTord	
0.0	0.0	1.751499	
0.0	0.1	1.743197	
0.0	0.2	1.718837	
0.0	0.3	1.680064	
0.0	0.4	1.629592	
0.0	0.5	1.570964	
0.0	0.6	1.508066	
0.0	0.7	1.444497	
0.0	0.8	1.383060	
0.0	0.9	1.325544	
0.0	1.0	1.272805	
0.0	1.5	1.076453	
0.0	2.0	0.955459	
0.0	2.5	0.874954	
0.0	3.0	0.817939	
0.0	3.5	0.775615	
0.0	4.0	0.743036	
0.0	4.5	0.717226	
0.0	5.0	0.696299	
0.0	6.0	0.664478	
0.0	7.0	0.641459	
0.0	8.0	0.624055	
0.0	9.0	0.610443	
0.1	0.0	1.743362	
0.1	0.1	1.743282	
0.2	0.0	1.720797	
0.1	0.1	1.719867	
0.3	0.0	1.687871	
0.2	0.2	1.684249	
0.4	0.0	1.648548	
0.3	0.3	1.639867	
0.5	0.0	1.605730	
0.3	0.3	1.589805	
0.6	0.0	1.561314	
0.4	0.4	1.536574	
0.7	0.0	1.516505	
0.5	0.5	1.482164	
0.8	0.0	1.472073	
0.6	0.6	1.428127	
0.9	0.0	1.428514	
0.6	0.6	1.375633	
1.0	0.0	1.386153	
0.7	0.7	1.325519	
1.5	0.0	1.197581	
1.1	1.1	1.121630	
2.0	0.0	1.050751	
1.4	1.4	0.987117	
2.5	0.0	0.941675	
1.8	1.8	0.896776	
3.0	0.0	0.862646	
2.1	2.1	0.833192	
3.5	0.0	0.805565	
2.5	2.5	0.786513	
4.0	0.0	0.763619	
2.8	2.8	0.751009	
4.5	0.0	0.731873	
3.2	3.2	0.723195	
5.0	0.0	0.707078	
3.5	3.5	0.700863	
6.0	0.0	0.670809	
4.2	4.2	0.667297	
7.0	0.0	0.645492	
5.0	5.0	0.643311	
8.0	0.0	0.626781	
5.7	5.7	0.625332	
9.0	0.0	0.612371	
6.4	6.4	0.611358	
