#mass 1.0, fConst 1.0, rSep 2.0, abstand 50.0, nbFcts 100.0, nbGHpoints 3.0, nbEigval 50.0, 

xDist	zDist	eigenvalues
0.0	0.0	1.751499	
0.0	0.1	1.743197	
0.0	0.2	1.718837	
0.0	0.3	1.680064	
0.0	0.4	1.629592	
0.0	0.5	1.570964	
0.0	0.6	1.508066	
0.0	0.7	1.444497	
0.0	0.8	1.383060	
0.0	0.9	1.325544	
0.0	1.0	1.272805	
0.0	1.1	1.225013	
0.0	1.2	1.181930	
0.0	1.3	1.143126	
0.0	1.4	1.108122	
0.0	1.5	1.076453	
0.0	1.6	1.047707	
0.0	1.7	1.021522	
0.0	1.8	0.997590	
0.0	1.9	0.975644	
0.0	2.0	0.955459	
0.0	2.5	0.874954	
0.0	3.0	0.817939	
0.0	3.5	0.775615	
0.0	4.0	0.743036	
0.0	4.5	0.717226	
0.0	5.0	0.696299	
0.0	5.5	0.679004	
0.0	6.0	0.664478	
0.0	6.5	0.652111	
0.0	7.0	0.641459	
0.0	7.5	0.632191	
0.0	8.0	0.624055	
0.0	8.5	0.616856	
0.0	9.0	0.610443	
0.0	9.5	0.604694	
0.0	10.0	0.599511	
0.0	11.0	0.590540	
0.0	12.0	0.583048	
0.0	13.0	0.576698	
0.0	14.0	0.571248	
0.0	15.0	0.566520	
0.0	16.0	0.562379	
0.0	17.0	0.558723	
0.0	18.0	0.555470	
0.0	19.0	0.552559	
0.0	20.0	0.549938	
0.0	21.0	0.547565	
0.0	22.0	0.545408	
0.0	23.0	0.543437	
0.0	24.0	0.541631	
0.0	25.0	0.539968	
0.0	26.0	0.538433	
0.0	27.0	0.537012	
0.0	28.0	0.535692	
0.0	29.0	0.534462	
0.0	30.0	0.533315	
0.0	31.0	0.532241	
0.0	32.0	0.531235	
0.0	33.0	0.530289	
0.0	34.0	0.529399	
0.0	35.0	0.528560	
0.0	36.0	0.527767	
0.0	37.0	0.527017	
0.0	38.0	0.526307	
0.0	39.0	0.525633	
0.0	40.0	0.524992	
0.0	41.0	0.524383	
0.0	42.0	0.523803	
0.0	43.0	0.523250	
0.0	44.0	0.522721	
0.0	45.0	0.522217	
0.0	46.0	0.521734	
0.0	47.0	0.521272	
0.0	48.0	0.520829	
0.0	49.0	0.520404	
0.0	50.0	0.519996	
0.0	51.0	0.519604	
0.0	52.0	0.519227	
0.0	53.0	0.518865	
0.0	54.0	0.518515	
0.0	55.0	0.518179	
0.0	56.0	0.517854	
0.0	57.0	0.517541	
0.0	58.0	0.517239	
0.0	59.0	0.516947	
0.1	0.0	1.743362	
0.1	0.1	1.743282	
0.2	0.0	1.720797	
0.1	0.1	1.719867	
0.3	0.0	1.687871	
0.2	0.2	1.684249	
0.4	0.0	1.648548	
0.3	0.3	1.639867	
0.5	0.0	1.605730	
0.3	0.3	1.589805	
0.6	0.0	1.561314	
0.4	0.4	1.536574	
0.7	0.0	1.516505	
0.5	0.5	1.482164	
0.8	0.0	1.472073	
0.6	0.6	1.428127	
0.9	0.0	1.428514	
0.6	0.6	1.375633	
1.0	0.0	1.386153	
0.7	0.7	1.325519	
1.1	0.0	1.345204	
0.8	0.8	1.278321	
1.2	0.0	1.305805	
0.8	0.8	1.234321	
1.3	0.0	1.268040	
0.9	0.9	1.193600	
1.4	0.0	1.231959	
1.0	1.0	1.156090	
1.5	0.0	1.197581	
1.1	1.1	1.121630	
1.6	0.0	1.164907	
1.1	1.1	1.090002	
1.7	0.0	1.133921	
1.2	1.2	1.060970	
1.8	0.0	1.104593	
1.3	1.3	1.034293	
1.9	0.0	1.076885	
1.3	1.3	1.009746	
2.0	0.0	1.050751	
1.4	1.4	0.987117	
2.5	0.0	0.941675	
1.8	1.8	0.896776	
3.0	0.0	0.862646	
2.1	2.1	0.833192	
3.5	0.0	0.805565	
2.5	2.5	0.786513	
4.0	0.0	0.763619	
2.8	2.8	0.751009	
4.5	0.0	0.731873	
3.2	3.2	0.723195	
5.0	0.0	0.707078	
3.5	3.5	0.700863	
5.5	0.0	0.687166	
3.9	3.9	0.682560	
6.0	0.0	0.670809	
4.2	4.2	0.667297	
6.5	0.0	0.657121	
4.6	4.6	0.654381	
7.0	0.0	0.645492	
5.0	5.0	0.643311	
7.5	0.0	0.635485	
5.3	5.3	0.633720	
8.0	0.0	0.626781	
5.7	5.7	0.625332	
8.5	0.0	0.619137	
6.0	6.0	0.617933	
9.0	0.0	0.612371	
6.4	6.4	0.611358	
9.5	0.0	0.606338	
6.7	6.7	0.605478	
10.0	0.0	0.600925	
7.1	7.1	0.600188	
11.0	0.0	0.591608	
7.8	7.8	0.591056	
12.0	0.0	0.583874	
8.5	8.5	0.583449	
13.0	0.0	0.577350	
9.2	9.2	0.577016	
14.0	0.0	0.571772	
9.9	9.9	0.571504	
15.0	0.0	0.566947	
10.6	10.6	0.566729	
16.0	0.0	0.562731	
11.3	11.3	0.562552	
17.0	0.0	0.559017	
12.0	12.0	0.558868	
18.0	0.0	0.555719	
12.7	12.7	0.555593	
19.0	0.0	0.552771	
13.4	13.4	0.552664	
20.0	0.0	0.550120	
14.1	14.1	0.550028	
21.0	0.0	0.547723	
14.8	14.8	0.547643	
22.0	0.0	0.545545	
15.6	15.6	0.545476	
23.0	0.0	0.543557	
16.3	16.3	0.543497	
24.0	0.0	0.541736	
17.0	17.0	0.541683	
25.0	0.0	0.540062	
17.7	17.7	0.540015	
26.0	0.0	0.538516	
18.4	18.4	0.538475	
27.0	0.0	0.537086	
19.1	19.1	0.537049	
28.0	0.0	0.535758	
19.8	19.8	0.535725	
29.0	0.0	0.534522	
20.5	20.5	0.534492	
30.0	0.0	0.533369	
21.2	21.2	0.533342	
31.0	0.0	0.532291	
21.9	21.9	0.532266	
32.0	0.0	0.531280	
22.6	22.6	0.531257	
33.0	0.0	0.530330	
23.3	23.3	0.530310	
34.0	0.0	0.529437	
24.0	24.0	0.529418	
35.0	0.0	0.528594	
24.8	24.8	0.528577	
36.0	0.0	0.527799	
25.5	25.5	0.527783	
37.0	0.0	0.527046	
26.2	26.2	0.527032	
38.0	0.0	0.526334	
26.9	26.9	0.526320	
39.0	0.0	0.525657	
27.6	27.6	0.525645	
40.0	0.0	0.525015	
28.3	28.3	0.525004	
41.0	0.0	0.524404	
29.0	29.0	0.524394	
42.0	0.0	0.523823	
29.7	29.7	0.523813	
43.0	0.0	0.523268	
30.4	30.4	0.523259	
44.0	0.0	0.522739	
31.1	31.1	0.522730	
45.0	0.0	0.522233	
31.8	31.8	0.522225	
46.0	0.0	0.521749	
32.5	32.5	0.521742	
47.0	0.0	0.521286	
33.2	33.2	0.521279	
48.0	0.0	0.520842	
33.9	33.9	0.520835	
49.0	0.0	0.520416	
34.6	34.6	0.520410	
50.0	0.0	0.520008	
35.4	35.4	0.520002	
51.0	0.0	0.519615	
36.1	36.1	0.519610	
52.0	0.0	0.519238	
36.8	36.8	0.519232	
53.0	0.0	0.518875	
37.5	37.5	0.518870	
54.0	0.0	0.518525	
38.2	38.2	0.518520	
55.0	0.0	0.518188	
38.9	38.9	0.518183	
56.0	0.0	0.517863	
39.6	39.6	0.517859	
57.0	0.0	0.517549	
40.3	40.3	0.517545	
58.0	0.0	0.517246	
41.0	41.0	0.517243	
59.0	0.0	0.516954	
41.7	41.7	0.516950	
