#mass 1.0, fConst 1.0, rSep 2.0, nbFcts 50.0, nbGHpoints 100.0, nbEigval 3.0, mxPTord 50.0, 

xDist	zDist	abstand	eigenvalues	
0.0	0.0	0.0	1.751499	
0.141421	0.141421	0.2	1.719867	
0.282843	0.282843	0.4	1.639867	
0.424264	0.424264	0.6	1.536574	
0.565685	0.565685	0.8	1.428127	
0.707107	0.707107	1.0	1.325519	
0.848528	0.848528	1.2	1.234321	
0.989949	0.989949	1.4	1.156090	
1.131371	1.131371	1.6	1.090002	
1.272792	1.272792	1.8	1.034293	
1.414214	1.414214	2.0	0.987117	
2.121320	2.121320	3.0	0.833192	
2.828427	2.828427	4.0	0.751009	
3.535534	3.535534	5.0	0.700863	
4.242641	4.242641	6.0	0.667297	
4.949747	4.949747	7.0	0.643311	
5.656854	5.656854	8.0	0.625332	
6.363961	6.363961	9.0	0.611358	
7.071068	7.071068	10.0	0.600188	
8.485281	8.485281	12.0	0.583449	
9.899495	9.899495	14.0	0.571504	
11.313708	11.313708	16.0	0.562552	
12.727922	12.727922	18.0	0.555593	
