#mass 1.0, fConst 1.0, rSep 2.0, abstand 50.0, nbFcts 100.0, nbGHpoints 3.0, nbEigval 50.0, 

xDist	zDist	mxPTord	
0.0	0.0	1.751499	
0.0	0.1	1.743197	
0.0	0.2	1.718837	
0.0	0.3	1.680064	
0.0	0.4	1.629592	
0.0	0.5	1.570964	
0.0	0.6	1.508066	
0.0	0.7	1.444497	
0.0	0.8	1.383060	
0.0	0.9	1.325544	
0.0	1.0	1.272805	
0.0	1.5	1.076453	
0.0	2.0	0.955459	
0.0	2.5	0.874954	
0.0	3.0	0.817939	
0.0	3.5	0.775615	
0.0	4.0	0.743036	
0.0	4.5	0.717226	
0.0	5.0	0.696299	
0.0	6.0	0.664478	
0.0	7.0	0.641459	
0.0	8.0	0.624055	
0.0	9.0	0.610443	
0.1	0.0	1.743362	
0.141421	0.141421	1.719867	
0.2	0.0	1.720797	
0.282843	0.282843	1.639867	
0.3	0.0	1.687871	
0.424264	0.424264	1.536574	
0.4	0.0	1.648548	
0.565685	0.565685	1.428127	
0.5	0.0	1.605730	
0.707107	0.707107	1.325519	
0.6	0.0	1.561314	
0.848528	0.848528	1.234321	
0.7	0.0	1.516505	
0.989949	0.989949	1.156090	
0.8	0.0	1.472073	
1.131371	1.131371	1.090002	
0.9	0.0	1.428514	
1.272792	1.272792	1.034293	
1.0	0.0	1.386153	
1.414214	1.414214	0.987117	
1.5	0.0	1.197581	
2.121320	2.121320	0.833192	
2.0	0.0	1.050751	
2.828427	2.828427	0.751009	
2.5	0.0	0.941675	
3.535534	3.535534	0.700863	
3.0	0.0	0.862646	
4.242641	4.242641	0.667297	
3.5	0.0	0.805565	
4.949747	4.949747	0.643311	
4.0	0.0	0.763619	
5.656854	5.656854	0.625332	
4.5	0.0	0.731873	
6.363961	6.363961	0.611358	
5.0	0.0	0.707078	
7.071068	7.071068	0.600188	
6.0	0.0	0.670809	
8.485281	8.485281	0.583449	
7.0	0.0	0.645492	
9.899495	9.899495	0.571504	
8.0	0.0	0.626781	
11.313708	11.313708	0.562552	
9.0	0.0	0.612371	
12.727922	12.727922	0.555593	
