#mass 1.0, fConst 10.0, rSep 2.0, nbFcts 50.0, nbGHpoints 100.0, nbEigval 3.0, mxPTord 50.0, 

xDist	zDist	abstand	eigenvalues	
0.0	0.0	0.0	3.315850	
0.1	0.1	0.1	3.300963	
0.1	0.1	0.2	3.257930	
0.2	0.2	0.3	3.191182	
0.3	0.3	0.4	3.106870	
0.3	0.3	0.5	3.011619	
0.4	0.4	0.6	2.911556	
0.5	0.5	0.7	2.811722	
0.6	0.6	0.8	2.715843	
0.6	0.6	0.9	2.626352	
0.7	0.7	1.0	2.544561	
0.8	0.8	1.1	2.470908	
0.8	0.8	1.2	2.405218	
0.9	0.9	1.3	2.346939	
1.0	1.0	1.4	2.295327	
1.1	1.1	1.5	2.249585	
1.1	1.1	1.6	2.208939	
1.2	1.2	1.7	2.172690	
1.3	1.3	1.8	2.140224	
1.3	1.3	1.9	2.111019	
1.4	1.4	2.0	2.084631	
1.8	1.8	2.5	1.983771	
2.1	2.1	3.0	1.916308	
2.5	2.5	3.5	1.868141	
2.8	2.8	4.0	1.832063	
3.2	3.2	4.5	1.804042	
3.5	3.5	5.0	1.781653	
3.9	3.9	5.5	1.763354	
4.2	4.2	6.0	1.748118	
4.6	4.6	6.5	1.735235	
5.0	5.0	7.0	1.724199	
5.3	5.3	7.5	1.714639	
5.7	5.7	8.0	1.706277	
6.0	6.0	8.5	1.698902	
6.4	6.4	9.0	1.692349	
6.7	6.7	9.5	1.686487	
7.1	7.1	10.0	1.681212	
7.8	7.8	11.0	1.672103	
8.5	8.5	12.0	1.664515	
9.2	9.2	13.0	1.658096	
9.9	9.9	14.0	1.652595	
10.6	10.6	15.0	1.647828	
11.3	11.3	16.0	1.643657	
12.0	12.0	17.0	1.639978	
12.7	12.7	18.0	1.636707	
13.4	13.4	19.0	1.633782	
14.1	14.1	20.0	1.631148	
14.8	14.8	21.0	1.628766	
15.6	15.6	22.0	1.626601	
16.3	16.3	23.0	1.624623	
17.0	17.0	24.0	1.622811	
17.7	17.7	25.0	1.621144	
18.4	18.4	26.0	1.619605	
19.1	19.1	27.0	1.618180	
19.8	19.8	28.0	1.616857	
20.5	20.5	29.0	1.615625	
21.2	21.2	30.0	1.614475	
21.9	21.9	31.0	1.613399	
22.6	22.6	32.0	1.612391	
23.3	23.3	33.0	1.611444	
24.0	24.0	34.0	1.610553	
24.8	24.8	35.0	1.609712	
25.5	25.5	36.0	1.608918	
26.2	26.2	37.0	1.608167	
26.9	26.9	38.0	1.607456	
27.6	27.6	39.0	1.606781	
28.3	28.3	40.0	1.606140	
29.0	29.0	41.0	1.605530	
29.7	29.7	42.0	1.604949	
30.4	30.4	43.0	1.604396	
31.1	31.1	44.0	1.603867	
31.8	31.8	45.0	1.603362	
32.5	32.5	46.0	1.602879	
33.2	33.2	47.0	1.602416	
33.9	33.9	48.0	1.601973	
34.6	34.6	49.0	1.601548	
35.4	35.4	50.0	1.601139	
36.1	36.1	51.0	1.600747	
36.8	36.8	52.0	1.600370	
37.5	37.5	53.0	1.600007	
38.2	38.2	54.0	1.599658	
38.9	38.9	55.0	1.599321	
39.6	39.6	56.0	1.598996	
40.3	40.3	57.0	1.598683	
41.0	41.0	58.0	1.598381	
41.7	41.7	59.0	1.598088	
