#mass 1.0, fConst 10.0, rSep 2.0, abstand 50.0, nbFcts 100.0, nbGHpoints 3.0, nbEigval 50.0, 

xDist	zDist	mxPTord	
0.0	0.0	3.315850	
0.0	0.1	3.297681	
0.0	0.2	3.245378	
0.0	0.3	3.165036	
0.0	0.4	3.065285	
0.0	0.5	2.955481	
0.0	0.6	2.844035	
0.0	0.7	2.737289	
0.0	0.8	2.639158	
0.0	0.9	2.551380	
0.0	1.0	2.474118	
0.0	1.1	2.406609	
0.0	1.2	2.347681	
0.0	1.3	2.296091	
0.0	1.4	2.250695	
0.0	1.5	2.210513	
0.0	1.6	2.174732	
0.0	1.7	2.142688	
0.0	1.8	2.113838	
0.0	1.9	2.087736	
0.0	2.0	2.064014	
0.0	2.5	1.971961	
0.0	3.0	1.909015	
0.0	3.5	1.863356	
0.0	4.0	1.828768	
0.0	4.5	1.801682	
0.0	5.0	1.779908	
0.0	5.5	1.762028	
0.0	6.0	1.747087	
0.0	6.5	1.734419	
0.0	7.0	1.723541	
0.0	7.5	1.714102	
0.0	8.0	1.705833	
0.0	8.5	1.698531	
0.0	9.0	1.692035	
0.0	9.5	1.686219	
0.0	10.0	1.680982	
0.0	11.0	1.671930	
0.0	12.0	1.664381	
0.0	13.0	1.657990	
0.0	14.0	1.652510	
0.0	15.0	1.647759	
0.0	16.0	1.643600	
0.0	17.0	1.639930	
0.0	18.0	1.636667	
0.0	19.0	1.633747	
0.0	20.0	1.631119	
0.0	21.0	1.628741	
0.0	22.0	1.626579	
0.0	23.0	1.624604	
0.0	24.0	1.622794	
0.0	25.0	1.621129	
0.0	26.0	1.619591	
0.0	27.0	1.618168	
0.0	28.0	1.616846	
0.0	29.0	1.615615	
0.0	30.0	1.614466	
0.0	31.0	1.613392	
0.0	32.0	1.612384	
0.0	33.0	1.611437	
0.0	34.0	1.610547	
0.0	35.0	1.609707	
0.0	36.0	1.608913	
0.0	37.0	1.608163	
0.0	38.0	1.607452	
0.0	39.0	1.606777	
0.0	40.0	1.606136	
0.0	41.0	1.605527	
0.0	42.0	1.604946	
0.0	43.0	1.604393	
0.0	44.0	1.603864	
0.0	45.0	1.603359	
0.0	46.0	1.602876	
0.0	47.0	1.602414	
0.0	48.0	1.601971	
0.0	49.0	1.601546	
0.0	50.0	1.601138	
0.0	51.0	1.600745	
0.0	52.0	1.600368	
0.0	53.0	1.600006	
0.0	54.0	1.599656	
0.0	55.0	1.599320	
0.0	56.0	1.598995	
0.0	57.0	1.598682	
0.0	58.0	1.598379	
0.0	59.0	1.598087	
0.1	0.0	3.304250	
0.1	0.1	3.300963	
0.2	0.0	3.270568	
0.1	0.1	3.257930	
0.3	0.0	3.217837	
0.2	0.2	3.191182	
0.4	0.0	3.150228	
0.3	0.3	3.106870	
0.5	0.0	3.072213	
0.3	0.3	3.011619	
0.6	0.0	2.987952	
0.4	0.4	2.911556	
0.7	0.0	2.900975	
0.5	0.5	2.811722	
0.8	0.0	2.814082	
0.6	0.6	2.715843	
0.9	0.0	2.729381	
0.6	0.6	2.626352	
1.0	0.0	2.648378	
0.7	0.7	2.544561	
1.1	0.0	2.572073	
0.8	0.8	2.470908	
1.2	0.0	2.501068	
0.8	0.8	2.405218	
1.3	0.0	2.435646	
0.9	0.9	2.346939	
1.4	0.0	2.375850	
1.0	1.0	2.295327	
1.5	0.0	2.321542	
1.1	1.1	2.249585	
1.6	0.0	2.272454	
1.1	1.1	2.208939	
1.7	0.0	2.228237	
1.2	1.2	2.172690	
1.8	0.0	2.188489	
1.3	1.3	2.140224	
1.9	0.0	2.152788	
1.3	1.3	2.111019	
2.0	0.0	2.120713	
1.4	1.4	2.084631	
2.5	0.0	2.001596	
1.8	1.8	1.983771	
3.0	0.0	1.926086	
2.1	2.1	1.916308	
3.5	0.0	1.874083	
2.5	2.5	1.868141	
4.0	0.0	1.835956	
2.8	2.8	1.832063	
4.5	0.0	1.806735	
3.2	3.2	1.804042	
5.0	0.0	1.783596	
3.5	3.5	1.781653	
5.5	0.0	1.764803	
3.9	3.9	1.763354	
6.0	0.0	1.749228	
4.2	4.2	1.748118	
6.5	0.0	1.736104	
4.6	4.6	1.735235	
7.0	0.0	1.724893	
5.0	5.0	1.724199	
7.5	0.0	1.715202	
5.3	5.3	1.714639	
8.0	0.0	1.706741	
5.7	5.7	1.706277	
8.5	0.0	1.699288	
6.0	6.0	1.698902	
9.0	0.0	1.692673	
6.4	6.4	1.692349	
9.5	0.0	1.686762	
6.7	6.7	1.686487	
10.0	0.0	1.681448	
7.1	7.1	1.681212	
11.0	0.0	1.672280	
7.8	7.8	1.672103	
12.0	0.0	1.664651	
8.5	8.5	1.664515	
13.0	0.0	1.658203	
9.2	9.2	1.658096	
14.0	0.0	1.652681	
9.9	9.9	1.652595	
15.0	0.0	1.647898	
10.6	10.6	1.647828	
16.0	0.0	1.643715	
11.3	11.3	1.643657	
17.0	0.0	1.640026	
12.0	12.0	1.639978	
18.0	0.0	1.636748	
12.7	12.7	1.636707	
19.0	0.0	1.633816	
13.4	13.4	1.633782	
20.0	0.0	1.631178	
14.1	14.1	1.631148	
21.0	0.0	1.628792	
14.8	14.8	1.628766	
22.0	0.0	1.626623	
15.6	15.6	1.626601	
23.0	0.0	1.624643	
16.3	16.3	1.624623	
24.0	0.0	1.622828	
17.0	17.0	1.622811	
25.0	0.0	1.621159	
17.7	17.7	1.621144	
26.0	0.0	1.619618	
18.4	18.4	1.619605	
27.0	0.0	1.618192	
19.1	19.1	1.618180	
28.0	0.0	1.616867	
19.8	19.8	1.616857	
29.0	0.0	1.615634	
20.5	20.5	1.615625	
30.0	0.0	1.614484	
21.2	21.2	1.614475	
31.0	0.0	1.613407	
21.9	21.9	1.613399	
32.0	0.0	1.612398	
22.6	22.6	1.612391	
33.0	0.0	1.611451	
23.3	23.3	1.611444	
34.0	0.0	1.610559	
24.0	24.0	1.610553	
35.0	0.0	1.609718	
24.8	24.8	1.609712	
36.0	0.0	1.608923	
25.5	25.5	1.608918	
37.0	0.0	1.608172	
26.2	26.2	1.608167	
38.0	0.0	1.607460	
26.9	26.9	1.607456	
39.0	0.0	1.606785	
27.6	27.6	1.606781	
40.0	0.0	1.606144	
28.3	28.3	1.606140	
41.0	0.0	1.605534	
29.0	29.0	1.605530	
42.0	0.0	1.604953	
29.7	29.7	1.604949	
43.0	0.0	1.604399	
30.4	30.4	1.604396	
44.0	0.0	1.603870	
31.1	31.1	1.603867	
45.0	0.0	1.603364	
31.8	31.8	1.603362	
46.0	0.0	1.602881	
32.5	32.5	1.602879	
47.0	0.0	1.602418	
33.2	33.2	1.602416	
48.0	0.0	1.601975	
33.9	33.9	1.601973	
