#mass 1.0, fConst 20.0, rSep 2.0, xDist 0.0, abstand 50.0, nbFcts 100.0, nbGHpoints 3.0, nbEigval 50.0, 

zDist	mxPTord	
0.0	4.077533	
0.1	4.057072	
0.2	3.998287	
0.3	3.908330	
0.4	3.797212	
0.5	3.675637	
0.6	3.553055	
0.7	3.436446	
0.8	3.329986	
0.9	3.235407	
1.0	3.152709	
1.1	3.080902	
1.2	3.018585	
1.3	2.964316	
1.4	2.916787	
1.5	2.874893	
1.6	2.837726	
1.7	2.804548	
1.8	2.774762	
1.9	2.747883	
2.0	2.723511	
2.5	2.629409	
3.0	2.565468	
3.5	2.519273	
4.0	2.484372	
4.5	2.457092	
5.0	2.435191	
5.5	2.417225	
6.0	2.402224	
6.5	2.389512	
7.0	2.378602	
7.5	2.369139	
8.0	2.360851	
8.5	2.353534	
9.0	2.347027	
9.5	2.341201	
10.0	2.335957	
11.0	2.326893	
12.0	2.319337	
13.0	2.312940	
14.0	2.307456	
15.0	2.302702	
16.0	2.298541	
17.0	2.294869	
18.0	2.291604	
19.0	2.288683	
20.0	2.286054	
21.0	2.283675	
22.0	2.281512	
23.0	2.279537	
24.0	2.277727	
25.0	2.276061	
26.0	2.274523	
27.0	2.273099	
28.0	2.271777	
29.0	2.270546	
30.0	2.269397	
31.0	2.268322	
32.0	2.267315	
33.0	2.266368	
34.0	2.265477	
35.0	2.264637	
36.0	2.263843	
37.0	2.263093	
38.0	2.262382	
39.0	2.261707	
40.0	2.261066	
41.0	2.260457	
42.0	2.259876	
43.0	2.259322	
44.0	2.258794	
45.0	2.258289	
46.0	2.257806	
47.0	2.257343	
48.0	2.256900	
49.0	2.256475	
50.0	2.256067	
51.0	2.255675	
52.0	2.255298	
53.0	2.254935	
54.0	2.254586	
55.0	2.254249	
56.0	2.253924	
57.0	2.253611	
58.0	2.253309	
59.0	2.253017	
