#mass 1.0, fConst 3.0, rSep 2.0, zDist 0.0, abstand 50.0, nbFcts 100.0, nbGHpoints 3.0, nbEigval 50.0, 

xDist	mxPTord	
0.0	2.373076	
0.1	2.363804	
0.2	2.337184	
0.3	2.296267	
0.4	2.244836	
0.5	2.186474	
0.6	2.124129	
0.7	2.060050	
0.8	1.995885	
0.9	1.932813	
1.0	1.871657	
1.1	1.812984	
1.2	1.757165	
1.3	1.704426	
1.4	1.654885	
1.5	1.608576	
1.6	1.565469	
1.7	1.525487	
1.8	1.488515	
1.9	1.454411	
2.0	1.423015	
2.5	1.300469	
3.0	1.219820	
3.5	1.164546	
4.0	1.124551	
4.5	1.094220	
5.0	1.070378	
5.5	1.051117	
6.0	1.035217	
6.5	1.021861	
7.0	1.010478	
7.5	1.000659	
8.0	0.992098	
8.5	0.984569	
9.0	0.977893	
9.5	0.971933	
10.0	0.966578	
11.0	0.957351	
12.0	0.949680	
13.0	0.943202	
14.0	0.937657	
15.0	0.932858	
16.0	0.928662	
17.0	0.924963	
18.0	0.921677	
19.0	0.918739	
20.0	0.916096	
21.0	0.913705	
22.0	0.911533	
23.0	0.909550	
24.0	0.907733	
25.0	0.906062	
26.0	0.904519	
27.0	0.903091	
28.0	0.901766	
29.0	0.900531	
30.0	0.899380	
31.0	0.898303	
32.0	0.897293	
33.0	0.896344	
34.0	0.895452	
35.0	0.894610	
36.0	0.893815	
37.0	0.893064	
38.0	0.892352	
39.0	0.891676	
40.0	0.891034	
41.0	0.890424	
42.0	0.889843	
43.0	0.889288	
44.0	0.888759	
45.0	0.888254	
46.0	0.887770	
47.0	0.887307	
48.0	0.886864	
49.0	0.886438	
50.0	0.886030	
51.0	0.885638	
52.0	0.885260	
53.0	0.884897	
54.0	0.884548	
55.0	0.884211	
56.0	0.883886	
57.0	0.883572	
58.0	0.883270	
59.0	0.882977	
